trecho_id,decliv_media_pct,decliv_max_pct,frac_plana,frac_ingreme,decliv_media_graus
RO-ARQ-0433,2.17,3.82,0.452,0.0,1.24
RO-ARQ-0434,4.05,7.4,0.12,0.0,2.32
RO-ARQ-0435,2.6,6.88,0.375,0.0,1.49
RO-ARQ-0436,3.04,10.15,0.4,0.062,1.74
RO-ARQ-0437,3.6,7.35,0.146,0.0,2.06
RO-ARQ-0438,4.96,10.18,0.132,0.132,2.84
RO-ARQ-0439,4.46,7.11,0.0,0.0,2.55
RO-ARQ-0440,4.87,8.78,0.161,0.129,2.79
RO-ARQ-0441,6.72,14.1,0.0,0.333,3.85
RO-ARQ-0442,6.72,20.02,0.0,0.25,3.84
